country.0,country.1,country.2,country.3,assembly
Azerbaijan,,,,1
South Korea,,,,1
Egypt,,,,1
Armenia,Cuba,,,1
India,,,,1
United States of America,,,,1
South Korea,Canada,,,1
South Korea,,,,1
Russia,Israel,United States of America,,1
India,,,,1
South Korea,,,,1
Egypt,Dominican Republic,,,1
India,,,,1
South Korea,,,,1
Ukraine,,,,1
Romania,,,,1
Russia,,,,1
Japan,,,,1
India,,,,1
Georgia,Lithuania,Ukraine,,1
United States of America,,,,1
India,United States of America,,,1
Kenya,,,,1
India,,,,1
Ethiopia,,,,1
South Korea,,,,1
South Korea,,,,1
Philippines,,,,1
India,,,,1
Russia,Ukraine,Israel,United States of America,1
Ghana,United States of America,,,1
Puerto Rico,,,,1
South Korea,,,,1
Turkey,,,,1
Mexico,,,,1
United States of America,,,,1
Russia,,,,1
Turkey,,,,1
India,,,,1
Dominican Republic,,,,1
Brazil,,,,1
Italy,Ireland,Germany,,1
Japan,,,,1
India,,,,1
United States of America,,,,1
Portugal,United States of America,Spain,Honduras,1
South Korea,,,,1
Vietnam,,,,1
Ecuador,,,,1
North Macedonia,,,,1
India,,,,1
South Korea,,,,1
Russia,,,,1
Canada,,,,1
United States of America,,,,1
India,,,,1
South Korea,,,,1
South Korea,,,,1
United States of America,,,,1
China,Vietnam,,,1
South Korea,,,,1
Egypt,,,,1
India,,,,1
Philippines,,,,1
Turkey,,,,1
United States of America,,,,1
China,Germany,Poland,,1
Poland,,,,1
India,,,,1
El Salvador,United States of America,,,1
India,,,,1
India,China,,,1
Ukraine,,,,1
China,South Korea,United States of America,,1
India,,,,1
South Korea,United States of America,,,1
Antarctica,,,,1
United States of America,Nigeria,,,1
Pakistan,India,,,1
North Korea,South Korea,China,,1
Italy,Spain,France,,1
Hong Kong,United States of America,,,1
India,,,,1
Italy,Spain,,,1
Poland,,,,1
Greece,,,,1
China,,,,1
United States of America,,,,1
Philippines,,,,1
Philippines,Spain,,,1
India,,,,1
South Korea,United States of America,,,1
South Korea,United States of America,,,1
South Korea,,,,1
India,,,,1
Ireland,Italy,China,Indonesia,1
Italy,,,,1
India,,,,1
Kazakhstan,South Korea,,,1
India,,,,1
South Korea,United States of America,,,1
Poland,,,,1
Poland,United States of America,,,1
South Korea,United States of America,,,1
Barbados,Jamaica,United States of America,,1
India,,,,1
China,United States of America,,,1
United States of America,,,,1
South Korea,,,,1
Germany,Russia,Romania,Switzerland,1
South Korea,United States of America,,,1
Poland,,,,1
India,,,,1
Iran,,,,1
India,,,,1
India,United States of America,,,1
South Korea,,,,1
United States of America,,,,1
North Korea,South Korea,,,1
South Korea,,,,1
Ecuador,,,,1
United States of America,China,,,1
Philippines,,,,1
South Korea,,,,1
Lebanon,,,,1
Russia,Ukraine,Poland,,1
Japan,,,,1
Ecuador,,,,1
India,,,,1
Russia,,,,1
South Korea,,,,1
South Korea,United States of America,,,1
Colombia,Peru,United States of America,,1
South Korea,France,Romania,Ireland,1
China,United States of America,,,1
South Korea,United States of America,,,1
United States of America,India,,,1
Vietnam,,,,1
Hong Kong,China,Philippines,,1
Turkey,,,,1
India,,,,1
India,,,,1
China,United States of America,,,1
Poland,Russia,Germany,Israel,1
Egypt,Turkey,,,1
Egypt,Iran,United States of America,,1
Cameroon,,,,1
India,,,,1
Philippines,,,,1
United States Minor Outlying Islands,India,Pakistan,,1
China,United States of America,,,1
Israel,Russia,,,1
United States of America,India,,,1
United States of America,,,,1
South Korea,,,,1
United States of America,Puerto Rico,Panama,China,1
Japan,United States of America,,,1
Lebanon,,,,1
